"Procode","SpellStart","n"
"R0B",2020-10-03,169
"R0B",2020-10-04,150
"R0B",2020-10-05,453
"R0B",2020-10-06,463
"R0B",2020-10-07,460
"R0B",2020-10-08,492
"R0B",2020-10-09,468
"R0B",2020-10-10,194
"R0B",2020-10-11,135
"R0B",2020-10-12,465
"R0B",2020-10-13,423
"R0B",2020-10-14,456
"R0B",2020-10-15,465
"R0B",2020-10-16,442
"R0B",2020-10-17,207
"R0B",2020-10-18,140
"R0B",2020-10-19,502
"R0B",2020-10-20,477
"R0B",2020-10-21,497
"R0B",2020-10-22,447
"R0B",2020-10-23,432
"R0B",2020-10-24,210
"R0B",2020-10-25,149
"R0B",2020-10-26,432
"R0B",2020-10-27,424
"R0B",2020-10-28,413
"R0B",2020-10-29,464
"R0B",2020-10-30,381
"R0B",2020-10-31,173
"R0B",2020-11-01,147
"R0B",2020-11-02,472
"R0B",2020-11-03,455
"R0B",2020-11-04,476
"R0B",2020-11-05,463
"R0B",2020-11-06,463
"R0B",2020-11-07,248
"R0B",2020-11-08,152
"R0B",2020-11-09,510
"R0B",2020-11-10,482
"R0B",2020-11-11,449
"R0B",2020-11-12,495
"R0B",2020-11-13,488
"R0B",2020-11-14,200
"R0B",2020-11-15,174
"R0B",2020-11-16,487
"R0B",2020-11-17,456
"R0B",2020-11-18,404
"R0B",2020-11-19,475
"R0B",2020-11-20,465
"R0B",2020-11-21,216
"R0B",2020-11-22,145
"R0B",2020-11-23,468
"R0B",2020-11-24,466
"R0B",2020-11-25,450
"R0B",2020-11-26,427
"R0B",2020-11-27,468
"R0B",2020-11-28,164
"R0B",2020-11-29,135
"R0B",2020-11-30,471
"R0B",2020-12-01,426
"R0B",2020-12-02,441
"R0B",2020-12-03,455
"R0B",2020-12-04,431
"R0B",2020-12-05,163
"R0B",2020-12-06,150
"R0B",2020-12-07,481
"R0B",2020-12-08,486
"R0B",2020-12-09,477
"R0B",2020-12-10,482
"R0B",2020-12-11,459
"R0B",2020-12-12,199
"R0B",2020-12-13,179
"R0B",2020-12-14,464
"R0B",2020-12-15,482
"R0B",2020-12-16,467
"R0B",2020-12-17,426
"R0B",2020-12-18,464
"R0B",2020-12-19,196
"R0B",2020-12-20,146
"R0B",2020-12-21,471
"R0B",2020-12-22,465
"R0B",2020-12-23,433
"R0B",2020-12-24,306
"R0B",2020-12-25,123
"R0B",2020-12-26,153
"R0B",2020-12-27,164
